market,model,seed,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar,num_test_days,pred_path_or_ckpt_path
csi300,Transformer,1,0.013344501200646895,0.08278195180210962,0.0301044329637148,0.18835614947053206,0.10255940296448962,0.16891702628300528,-0.24178857165336376,0.5780009823503438,0.8707602447189939,0.4241697705693147,727,mlruns/csi300/191515890957770920/935ccc60ea064ce6b2ff5946cc1afa23/artifacts/pred.pkl
csi300,Transformer,2,0.019727587007388993,0.12612535066020444,0.03533916326913843,0.22012055134726613,0.06299973193209762,0.15377791495722373,-0.22359905180438533,0.39729272695786455,0.5857628189979838,0.28175312651689,727,mlruns/csi300/246748931090673472/ebb23ac35cf94c71bbb5b127908f92f2/artifacts/pred.pkl
csi300,Transformer,3,0.009112365075217132,0.05131835339372922,0.02915203672827684,0.1615506941893609,-0.029722681705161347,0.14381335518179822,-0.3011085509001832,-0.20980911791869414,-0.3064758950073114,-0.09871085233648628,727,mlruns/csi300/320854076499837530/aa6ecc83027541a5ac6e74eac79940fb/artifacts/pred.pkl
csi300,Transformer,4,0.013898149828414958,0.0808192541182229,0.028931136014794995,0.17211478670803682,0.004164625986412318,0.16354506509895578,-0.2944009138953967,0.025411821086638264,0.037229116689571747,0.014146104138426851,727,mlruns/csi300/436198184328804683/dfe51f39bc0142ae878abc6b18510401/artifacts/pred.pkl
sp500,XGBoost,0,0.0020635530189503193,0.023260596917538828,0.004844782739753965,0.05516083324238115,0.09640988449481913,0.1757064126304781,-0.19364271915908848,0.52383461387252,0.747480466729823,0.4978750810435219,752,mlruns/sp500/799217228583817759/c8bb147bf67545269548007c0a3e51dd/artifacts/pred.pkl
sp500,XGBoost,1,0.0032919891795245427,0.03623591708396688,0.004102245000621664,0.04398800720716111,0.03221009887210302,0.17790079870518033,-0.23872188759495538,0.1782017323590327,0.24955184355866894,0.13492729634726497,752,mlruns/sp500/679229388589451384/1bed78d6dc7a496abb9af5a5eb27b691/artifacts/pred.pkl
sp500,XGBoost,2,0.004463571502696901,0.049448150335841594,0.005142149343168102,0.056975043196605735,0.07545215634210023,0.17581847275479726,-0.2302253485747483,0.4137289020821082,0.5919116314857246,0.3277317498233816,752,mlruns/sp500/968796181084855568/c31c480298bd45f697f499c031f94a28/artifacts/pred.pkl
sp500,XGBoost,3,0.0032374813453730643,0.035411741866232305,0.003450065244095656,0.03741460549393311,0.062086914041204366,0.1762762754436061,-0.22251735952872664,0.34171223145555824,0.4826229469657528,0.27902054101621243,752,mlruns/sp500/346217907481499282/9076741ac02043ccb31ffcbdc90b5bb8/artifacts/pred.pkl
sp500,XGBoost,4,0.0008678219503543363,0.009584431660406173,0.002494699471422953,0.028151366351255227,0.04305153129850803,0.1814827009761728,-0.2463220596692881,0.23225674611019628,0.32856921337825057,0.174777408715683,752,mlruns/sp500/167284701501115690/8152415764714203a3befd9cc6b9908e/artifacts/pred.pkl
sp500,GRU,0,0.007184358184389101,0.055471701032710895,0.009277883405050936,0.06753676861147923,0.08095999448049884,0.2192909355527589,-0.24409880901682746,0.3550056909324611,0.5121165387428309,0.3316689450742781,752,mlruns/sp500/909417194789835038/38d8f0b11fc0407f93203e45cb643d58/artifacts/pred.pkl
sp500,GRU,1,0.004807216616834134,0.039054329629917776,0.005843053937973271,0.04690025464180245,0.07254332586837453,0.22264645276831085,-0.2742705492520635,0.3145469744224561,0.45797524460192157,0.2644954993024237,752,mlruns/sp500/466629545652841036/44194ee88ac044c7b44fb55f354e7f70/artifacts/pred.pkl
sp500,GRU,2,-0.0004585773344297872,-0.0034095852342451516,0.002927030834131748,0.02093423490582438,0.033528273399926256,0.1532376194495428,-0.21034774925300537,0.215211230938679,0.30697220757606203,0.15939449563398272,752,mlruns/sp500/907080406113612152/f07b57e8185947449cb5dcd9c1fb5777/artifacts/pred.pkl
sp500,GRU,3,0.00036382682966195755,0.002819235558586143,0.002977462214040327,0.02227686400931329,0.0679356787492773,0.15244081217446667,-0.19162565724574565,0.43116742751893244,0.6252905841093844,0.35452287405415056,752,mlruns/sp500/772849314932359793/ae4cbe74fd5e48eb847801917c9ba1d8/artifacts/pred.pkl
sp500,GRU,4,0.004818445998232639,0.03948053806531453,0.008214422850934674,0.06398750492492478,0.06261680852347129,0.18929097769497244,-0.22230361982696378,0.32085286867439816,0.44678098644399894,0.2816724647678289,752,mlruns/sp500/154860692521379722/97722403de614bf69781cd59a109b815/artifacts/pred.pkl
sp500,TCN,0,-0.0019839731027531493,-0.02284616355380291,-0.001812734314153216,-0.01710693814012654,-0.034092229269178986,0.1436492399016363,-0.19573467981855608,-0.24146960182575983,-0.33387561865719645,-0.1741757224666682,752,mlruns/sp500/304130968025583655/4852355041cc4bb6b9d2792ced808bb9/artifacts/pred.pkl
sp500,TCN,1,-0.0012118303156978202,-0.013841086671586721,-0.0014894598986467432,-0.01410163958104982,-0.0027938943699069574,0.14945327873006617,-0.19746554511830938,-0.018720262287933356,-0.026356935613737215,-0.014148768931982667,752,mlruns/sp500/577868212238118297/296e0b16190245c3a10f76d70a04713f/artifacts/pred.pkl
sp500,TCN,2,-0.0025346098135644976,-0.0267436030821628,-0.0018401640585438085,-0.01668037602682222,-0.005444133538941132,0.13227536401822915,-0.17447595021532636,-0.041270019406158355,-0.05666660035057004,-0.031202773403568525,752,mlruns/sp500/987826595308903301/2d21d308bd6f4a47886a0d3a6f1e6342/artifacts/pred.pkl
sp500,TCN,3,-0.0005168073865391618,-0.006060769871471218,-0.0009256932213110008,-0.009234113351307027,0.028442199137919344,0.1342352138783152,-0.1680042944877399,0.2089260227332374,0.2962402752264255,0.16929447681466803,752,mlruns/sp500/330520445514805443/f400cff045fe4a9189bed1ed3e13dc50/artifacts/pred.pkl
sp500,TCN,4,-0.00015035705987753397,-0.0017337146109489359,-0.00021698633288041766,-0.0021032213820356524,0.04688865861362257,0.13559830263223163,-0.1694954716788205,0.3379288832572643,0.4734515026701946,0.2766366449156387,752,mlruns/sp500/786726817509306784/6d66ba459f5a4e2a90c1a62b85bf27f2/artifacts/pred.pkl
sp500,Transformer,0,0.0034754750954220292,0.029699910895798626,0.006085432843514311,0.047971031107430444,-0.01051374038696773,0.17146850720816686,-0.23674165393154245,-0.06164047497703337,-0.08368375232352557,-0.044410183896104495,752,mlruns/sp500/164560864895012902/72c78d1fd513419a9e5ecbfea093e990/artifacts/pred.pkl
sp500,Transformer,1,0.0045072860899143365,0.037385304099650046,0.0072300126193459964,0.05539884284149649,0.020778516295445915,0.16582413390116843,-0.21866227148037598,0.1240204724986397,0.16647977782670628,0.09502561257949202,752,mlruns/sp500/910495288411801039/1793f31cade84335a4ab44eb50e31eb0/artifacts/pred.pkl
sp500,Transformer,2,0.004788220111648797,0.03683532581982427,0.008300661516425206,0.059193588406815864,0.014565084107021065,0.15604144252434624,-0.19889701227557166,0.09266789557861162,0.1243255652808323,0.07322927549480307,752,mlruns/sp500/764986604365169880/1d9b61be019b4f6ba214938a774e0ad7/artifacts/pred.pkl
sp500,Transformer,3,0.0009195279969682809,0.007503207792091121,0.004070353712934633,0.030995017007744013,0.0018923678014530765,0.15737126412544028,-0.22260517528080248,0.012013499031746106,0.016377595719154786,0.008501005419420159,752,mlruns/sp500/518073768260386199/338ef41b4f4f494e84e6a177ffab7fe8/artifacts/pred.pkl
sp500,Transformer,4,0.001879119262574262,0.015200315230977054,0.005640496826441567,0.04382341817952106,0.03592442447622224,0.173794746332124,-0.23998948316282098,0.20307973960061315,0.27771191254254757,0.1496916614960552,752,mlruns/sp500/863879639151835558/a2603fa5e46843c093baca137d0b9532/artifacts/pred.pkl
