market,model,seed,IC,ICIR,RankIC,RankICIR,AnnReturn_Gross,AnnReturn_Net,AnnExcess_Gross,AnnExcess_Net,Sharpe,MaxDrawdown,BenchReturn,Turnover
sp500,GRU,4,0.004818445998232639,0.03948053806531453,0.008214422850934674,0.06398750492492478,0.15332300565560766,0.07425889365221364,-0.03996559659634816,-0.11902970859974221,-1.1813782527680252,-0.4499667579543809,0.19328859448432922,0.3326938974915069
sp500,TCN,0,-0.0019839731027531493,-0.02284616355380291,-0.001812734314153216,-0.01710693814012654,0.0553719417597703,-0.02301748863625758,-0.1379166604921855,-0.21630609088821337,-2.1676954851298156,-0.69215707698976,0.19328859448432922,0.329862244442281
sp500,TCN,1,-0.0012118303156978202,-0.013841086671586721,-0.0014894598986467432,-0.01410163958104982,0.08669754050344029,0.007910454427123821,-0.1065910617485155,-0.185378147824832,-1.8941388455928685,-0.6092946756697637,0.19328859448432922,0.3315316841186986
sp500,TCN,2,-0.0025346098135644976,-0.0267436030821628,-0.0018401640585438085,-0.01668037602682222,0.07585157722160224,0.00309206246560019,-0.11743702503035354,-0.19019653978635556,-1.7663623463434526,-0.6205402405338043,0.19328859448432922,0.3062181952797376
sp500,TCN,3,-0.0005168073865391618,-0.006060769871471218,-0.0009256932213110008,-0.009234113351307027,0.11338458277295654,0.03498715399007195,-0.07990401947899925,-0.15830144826188386,-1.5245518812127021,-0.5095192245739878,0.19328859448432922,0.32989480342585537
sp500,TCN,4,-0.00015035705987753397,-0.0017337146109489359,-0.00021698633288041766,-0.0021032213820356524,0.11456298378106976,0.051948074166342076,-0.07872561847088602,-0.14134052808561373,-1.2873125581115816,-0.4564388874540292,0.19328859448432922,0.2636146881203155
sp500,Transformer,0,0.0034754750954220292,0.029699910895798626,0.006085432843514311,0.047971031107430444,0.0828989599230074,0.003878754810684969,-0.1103896423289484,-0.18940984744127085,-2.0902199793346856,-0.6413056626357115,0.19328859448432922,0.33251078658983224
sp500,Transformer,1,0.0045072860899143365,0.037385304099650046,0.0072300126193459964,0.05539884284149649,0.11110822842357075,0.03237328837215167,-0.08218037382838507,-0.16091531387980418,-1.9572015469434008,-0.5406992703576278,0.19328859448432922,0.33131272729627564
sp500,Transformer,2,0.004788220111648797,0.03683532581982427,0.008300661516425206,0.059193588406815864,0.10387005566484071,0.02512329852868493,-0.0894185465871151,-0.16816530372327085,-1.83004659902047,-0.6166886083695858,0.19328859448432922,0.33136121358299486
sp500,Transformer,3,0.0009195279969682809,0.007503207792091121,0.004070353712934633,0.030995017007744013,0.0922909170575414,0.013452728720808771,-0.10099768519441436,-0.17983587353114702,-2.0271092788670466,-0.59491116900692,0.19328859448432922,0.33174610417571987
sp500,Transformer,4,0.001879119262574262,0.015200315230977054,0.005640496826441567,0.04382341817952106,0.1266718399158567,0.047575915171326116,-0.06661676233609909,-0.1457126870806297,-1.6622138002560594,-0.5133921277189437,0.19328859448432922,0.332827702226715
sp500,XGBoost,0,0.0020635530189503193,0.023260596917538828,0.004844782739753965,0.05516083324238115,0.17998103784648875,0.10152941650050293,-0.013307564405467057,-0.09175918575145288,-1.1046111321380472,-0.3041293541144591,0.19328859448432922,0.33012004001733575
sp500,XGBoost,1,0.0032919891795245427,0.03623591708396688,0.004102245000621664,0.04398800720716111,0.12338668782049549,0.04489534613365539,-0.06990191443146031,-0.1483932561183004,-1.6756875033728438,-0.512473339992443,0.19328859448432922,0.33028818693020007
sp500,XGBoost,2,0.004463571502696901,0.049448150335841594,0.005142149343168102,0.056975043196605735,0.16178675282993144,0.08331595974179772,-0.03150184942202436,-0.1099726425101581,-1.3341493560630382,-0.37907621323716423,0.19328859448432922,0.33020265531058113
sp500,XGBoost,3,0.0032374813453730643,0.035411741866232305,0.003450065244095656,0.03741460549393311,0.1501302890106047,0.07157132291551174,-0.043158313241351075,-0.12171727933644405,-1.39543619349092,-0.43612639106752094,0.19328859448432922,0.3305717948615851
sp500,XGBoost,4,0.0008678219503543363,0.009584431660406173,0.002494699471422953,0.028151366351255227,0.1341841366896195,0.055384523764161205,-0.059104465562336304,-0.1379040784877946,-1.5290024272201794,-0.4661276757653107,0.19328859448432922,0.3315827287545714
